stt,GSA1,GSA2,GSA3,GSA4,CE1,CE2,CE3,CE4,CE5,CE6,CE7,CE8,MA1,MA2,MA3,MA4,MA5,VA1,VA2,VA3,VA4,FE1,FE2,FE3,PE1,PE2,PE3
234,3,4,5,4,4,3,3,4,4,5,4,3,5,5,4,4,4,5,5,5,5,4,3,3,3,3,3
235,3,4,5,5,5,5,4,5,5,5,5,4,5,4,4,4,5,4,4,5,5,5,4,5,5,5,5
236,3,5,4,5,3,4,4,3,3,3,4,3,5,4,4,3,3,4,3,5,5,5,5,3,5,5,5
237,4,5,5,4,3,4,5,5,5,4,5,4,5,5,5,5,4,5,5,5,4,5,4,3,5,4,5
238,4,4,4,5,5,4,4,4,3,3,4,4,5,5,5,5,5,5,4,5,5,4,4,5,4,4,5
239,3,3,4,5,3,2,3,3,4,3,4,3,4,4,3,5,4,5,5,4,4,3,3,3,3,4,4
240,4,3,4,4,2,2,2,1,3,2,2,3,4,5,5,3,3,4,4,3,3,3,3,4,4,4,4
241,3,2,3,3,4,4,3,5,5,5,4,4,5,4,4,3,4,5,4,4,4,5,5,3,5,5,5
242,5,5,5,5,3,3,3,4,3,3,4,4,5,5,5,4,5,5,4,5,5,5,4,3,4,5,4
243,5,4,5,4,3,3,3,3,4,4,5,3,4,4,5,5,4,4,5,4,4,4,3,3,4,4,5
244,2,3,2,2,2,2,3,2,2,2,3,3,4,4,4,5,4,3,2,4,4,3,2,2,3,3,4
245,5,5,4,5,3,2,2,2,2,3,3,3,5,5,4,4,5,5,5,4,4,4,3,5,4,4,5
246,3,3,4,3,3,2,2,2,2,2,3,3,4,4,4,3,3,5,4,4,5,5,3,3,4,4,3
247,4,3,4,3,5,5,3,4,3,3,3,3,4,5,5,5,4,5,5,4,4,3,4,3,5,4,4
248,4,5,5,5,5,5,4,3,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,3,4,5,5
249,5,4,4,5,4,4,5,3,4,4,5,5,4,4,5,5,4,4,4,5,5,4,4,5,5,4,5
250,4,5,5,5,3,3,2,3,5,4,3,3,5,4,4,5,5,5,5,5,4,4,4,5,3,4,3
251,4,4,5,4,3,3,4,4,3,2,3,3,3,3,4,3,3,4,4,3,4,3,3,2,3,4,3
252,3,3,4,4,4,2,2,2,1,3,2,3,5,5,5,4,5,5,4,5,5,4,3,5,4,4,5
253,3,4,3,4,2,3,3,2,3,3,4,4,4,5,3,4,3,5,4,5,4,4,3,3,4,5,4
254,3,1,3,1,1,1,3,4,5,3,2,3,5,5,4,3,3,4,5,4,3,2,3,4,4,5,5
255,5,4,3,4,3,4,4,3,3,4,4,3,3,4,3,3,4,4,3,3,3,3,4,4,3,4,3
256,3,4,4,4,4,3,4,4,3,4,4,3,3,3,4,3,3,3,4,4,3,3,3,4,4,4,5
257,5,5,5,4,3,4,4,4,5,5,3,4,5,5,4,4,5,4,5,5,5,3,4,3,4,4,5
258,4,5,5,5,3,3,4,4,4,4,4,4,5,4,4,5,5,5,4,4,4,4,3,4,3,4,3
259,4,3,3,3,3,4,4,3,4,3,3,3,5,5,4,4,5,4,4,4,3,3,4,3,4,4,3
260,3,5,5,3,3,3,4,4,3,4,5,5,5,5,4,3,5,4,5,5,5,4,3,4,5,3,4
261,4,4,5,5,5,4,4,4,5,4,5,5,4,5,4,4,5,4,4,5,4,4,5,5,4,4,5
262,4,4,4,4,4,5,5,5,4,4,4,5,4,4,4,3,3,4,5,5,5,3,4,3,5,3,5
263,3,4,4,4,3,3,4,3,5,2,4,2,4,4,4,3,4,4,5,3,4,3,3,2,4,3,4
264,3,4,4,4,5,3,3,3,4,3,3,2,5,5,4,5,5,5,4,5,5,3,2,4,4,4,5
265,5,5,5,5,4,2,5,4,5,5,5,3,5,4,5,5,5,5,5,3,5,3,3,5,5,4,5
266,4,5,4,4,3,4,4,3,4,5,5,3,3,4,4,3,3,4,3,3,4,3,3,5,4,4,4
267,4,5,4,3,3,4,3,3,4,4,3,3,4,3,4,4,5,5,5,4,3,3,3,4,4,3,4
268,5,5,5,5,4,4,4,5,4,5,4,4,5,5,4,4,4,5,4,4,4,4,4,4,3,4,3
269,4,3,4,3,4,4,3,4,5,5,4,4,5,5,5,4,4,5,4,5,4,3,3,2,2,3,4
270,3,5,4,4,3,2,4,3,3,4,2,3,4,4,3,2,2,5,5,4,4,4,3,3,2,2,4
271,3,3,2,2,3,4,2,2,3,2,2,3,3,2,3,4,3,3,3,2,4,2,2,4,4,3,2
272,4,5,5,4,4,4,3,3,4,3,3,4,5,5,4,4,5,5,5,5,4,5,5,4,3,4,5
273,2,2,4,3,4,3,3,4,4,3,2,3,5,5,5,4,4,4,4,5,5,4,5,3,3,3,3
274,4,3,5,3,4,3,4,3,4,3,3,4,2,4,3,3,4,4,3,5,3,3,4,2,3,3,4
275,2,3,4,3,3,2,3,2,3,2,1,3,2,2,3,4,4,5,4,4,5,4,5,3,2,2,3
276,3,4,5,4,4,3,3,3,4,4,3,3,4,5,5,3,4,4,3,4,5,4,4,5,4,2,3
277,4,4,5,3,4,3,2,3,4,3,3,4,5,4,5,3,4,5,4,4,4,4,3,4,2,2,3
278,3,4,3,3,3,2,2,2,4,2,2,3,4,3,5,4,4,4,3,3,5,2,4,3,5,5,4
279,3,3,4,3,4,3,2,3,3,2,2,4,3,3,4,3,3,4,4,3,3,3,2,2,4,3,5
280,3,4,5,4,4,3,3,4,4,3,3,2,3,4,4,3,3,3,4,5,4,4,3,5,5,4,3
