stt,GSA1,GSA2,GSA3,GSA4,CE1,CE2,CE3,CE4,CE5,CE6,CE7,CE8,MA1,MA2,MA3,MA4,MA5,VA1,VA2,VA3,VA4,FE1,FE2,FE3,PE1,PE2,PE3
56,4,4,4,4,2,2,3,3,3,4,5,5,3,4,3,4,3,3,4,3,4,3,4,3,4,3,3
57,3,4,4,4,3,5,4,4,5,4,5,4,4,4,3,4,3,2,3,3,4,3,4,4,3,4,4
58,3,4,4,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,4,4
59,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
60,4,4,5,4,5,5,4,4,4,5,5,4,5,5,5,5,4,3,4,5,5,4,4,5,5,4,5
61,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
62,5,5,4,4,3,2,2,2,4,4,3,5,3,4,4,4,3,2,3,3,3,2,2,3,3,4,4
63,5,4,5,5,4,1,4,5,4,3,4,3,4,4,4,4,3,3,3,5,5,4,5,5,3,5,4
64,4,4,3,4,2,4,4,4,4,4,5,5,4,4,4,5,3,4,5,5,4,5,5,5,4,4,5
65,4,5,3,4,4,3,5,5,5,4,5,4,4,3,4,5,4,5,3,4,5,5,4,3,3,4,3
66,3,3,4,5,5,4,3,3,4,5,5,4,3,4,5,4,5,5,5,5,4,3,5,5,4,3,4
67,3,4,4,3,5,5,4,5,4,4,5,5,4,4,5,5,3,5,5,4,5,4,5,5,4,3,3
68,5,5,5,4,5,5,5,5,5,4,3,3,5,5,5,5,4,5,3,5,3,3,3,5,4,5,5
69,3,5,3,4,3,5,4,4,4,5,3,4,4,4,3,3,4,5,3,4,3,4,5,5,4,5,3
70,5,5,5,2,4,4,5,4,5,4,5,3,3,4,3,4,5,4,5,5,5,4,4,4,5,5,4
71,5,4,4,5,5,4,5,5,3,2,3,4,4,5,4,5,4,3,4,4,4,3,5,3,4,5,5
